iter	MultiClass
0	6.405096184e-06
1	6.39808239e-06
2	6.386258921e-06
3	6.384718669e-06
4	6.377707885e-06
5	6.375933625e-06
6	6.374058509e-06
7	6.371277479e-06
8	6.3705935e-06
9	6.360802748e-06
10	6.359700178e-06
11	6.359529778e-06
12	6.356474043e-06
13	6.355022915e-06
14	6.347249186e-06
15	6.309266383e-06
16	6.221334329e-06
17	6.21905946e-06
18	6.218817968e-06
19	6.212401619e-06
20	6.212027009e-06
21	6.211257717e-06
22	6.12691063e-06
23	6.125371278e-06
24	6.124263069e-06
25	6.118145727e-06
26	6.117901991e-06
27	6.117597235e-06
28	6.117390449e-06
29	6.114864552e-06
30	6.114682723e-06
31	6.113582856e-06
32	6.113423347e-06
33	6.106061259e-06
34	6.105899715e-06
35	6.100286741e-06
36	6.099626446e-06
37	5.995479387e-06
38	5.99390652e-06
39	5.992518586e-06
40	5.990331908e-06
41	5.990170627e-06
42	5.989382557e-06
43	5.943169915e-06
44	5.850881428e-06
45	5.736159007e-06
46	5.73474672e-06
47	5.734400467e-06
48	5.724926191e-06
49	5.715192361e-06
50	5.715051139e-06
51	5.714632659e-06
52	5.565222701e-06
53	5.56286437e-06
54	5.562758025e-06
55	5.562661426e-06
56	5.562573669e-06
57	5.55922506e-06
58	5.527746769e-06
59	5.526989568e-06
60	5.526455469e-06
61	5.520575194e-06
62	5.519425958e-06
63	5.518398614e-06
64	5.509720046e-06
65	5.430991494e-06
66	5.430880888e-06
67	5.42467977e-06
68	5.340099874e-06
69	5.333622657e-06
70	5.323848507e-06
71	5.322919321e-06
72	5.30909499e-06
73	5.308739385e-06
74	5.308645018e-06
75	5.307562489e-06
76	5.299329557e-06
77	5.298394321e-06
78	5.297194127e-06
79	5.287896261e-06
80	5.287266539e-06
81	5.286375324e-06
82	5.286304494e-06
83	5.285147408e-06
84	5.284624518e-06
85	5.283762239e-06
86	5.28348019e-06
87	5.201595165e-06
88	5.200486077e-06
89	5.199084854e-06
90	5.198125867e-06
91	5.150335076e-06
92	5.149979979e-06
93	5.149606688e-06
94	5.144281611e-06
95	5.143719769e-06
96	5.138816279e-06
97	5.13823586e-06
98	5.138170642e-06
99	5.137674678e-06
100	5.01344068e-06
101	5.00872008e-06
102	5.008667756e-06
103	4.94466129e-06
104	4.944401895e-06
105	4.90708597e-06
106	4.903958486e-06
107	4.903426605e-06
108	4.902621918e-06
109	4.901455923e-06
110	4.882228109e-06
111	4.881956127e-06
112	4.823322149e-06
113	4.817858468e-06
114	4.81653716e-06
115	4.816442762e-06
116	4.816356585e-06
117	4.815880218e-06
118	4.815803854e-06
119	4.813040007e-06
120	4.742202279e-06
121	4.742121655e-06
122	4.739997412e-06
123	4.73924187e-06
124	4.723747644e-06
125	4.72326653e-06
126	4.722798391e-06
127	4.722312955e-06
128	4.722238984e-06
129	4.721203434e-06
130	4.718113867e-06
131	4.718046555e-06
132	4.702501902e-06
133	4.70243748e-06
134	4.702378595e-06
135	4.701894199e-06
136	4.701665734e-06
137	4.700973277e-06
138	4.667050887e-06
139	4.666983688e-06
140	4.666547696e-06
141	4.666487715e-06
142	4.665763442e-06
143	4.664423707e-06
144	4.660640137e-06
145	4.654966879e-06
146	4.62858492e-06
147	4.628527219e-06
148	4.573656988e-06
149	4.567698e-06
150	4.567266602e-06
151	4.566851452e-06
152	4.565325224e-06
153	4.559003225e-06
154	4.558791001e-06
155	4.557524275e-06
156	4.489312172e-06
157	4.489022829e-06
158	4.48894808e-06
159	4.488879659e-06
160	4.488577313e-06
161	4.488516517e-06
162	4.488053088e-06
163	4.486253662e-06
164	4.485897808e-06
165	4.484383971e-06
166	4.48316168e-06
167	4.482268126e-06
168	4.481368787e-06
169	4.480935105e-06
170	4.47774853e-06
171	4.477519129e-06
172	4.477457084e-06
173	4.445487224e-06
174	4.388874523e-06
175	4.388798938e-06
176	4.387714895e-06
177	4.387282596e-06
178	4.383700366e-06
179	4.383086275e-06
180	4.383018563e-06
181	4.379904597e-06
182	4.378868073e-06
183	4.378426919e-06
184	4.344386662e-06
185	4.343613024e-06
186	4.294830576e-06
187	4.293322508e-06
188	4.29298555e-06
189	4.29195169e-06
190	4.25476446e-06
191	4.254700049e-06
192	4.254314777e-06
193	4.254119652e-06
194	4.24698656e-06
195	4.24661471e-06
196	4.197127786e-06
197	4.197043609e-06
198	4.192084948e-06
199	4.186533996e-06
